time,producer,event,src_ip,src_port,dst_ip,dst_port,app_name
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,49608,None,161,None
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1971,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1971,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57222,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57223,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1968,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,3082,None,389,LDAP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1968,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1970,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1970,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1972,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1972,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1973,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1973,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1969,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1969,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57224,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57225,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57226,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57227,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,2100,None,80,ٶ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1976,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1975,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1974,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1976,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1975,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1974,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57228,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57229,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57230,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57231,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52943,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52944,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1977,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52945,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1977,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52946,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,3084,None,389,LDAP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57232,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,57233,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52947,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52948,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1978,None,161,SNMP
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,1978,None,161,SNMPv1
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52949,None,1434,Mssql Mon
2017-10-23 00:01:03,30.1.32.157,[50450]SNMPʹ,None,52950,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,52951,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,3085,None,389,LDAP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,9909,None,16841,δ֪UDPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,9909,None,14064,δ֪UDPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57234,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57235,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57236,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57237,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57238,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57239,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57240,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57241,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57242,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57243,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1980,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1979,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1980,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1981,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1979,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1981,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,39515,None,123,NTP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,51408,None,161,NTP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1982,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1982,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,3086,None,389,LDAP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1983,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1983,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,9909,None,8000,δ֪UDPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57244,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57245,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57246,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57247,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57248,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,0,None,0,ICMPЭ
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57249,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57250,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,57251,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,50596,None,389,LDAP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,52952,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,52953,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1984,None,161,SNMP
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1984,None,161,SNMPv1
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60626,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.200,[50450]SNMPʹ,None,60626,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60627,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60628,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60629,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60630,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,60631,None,1434,Mssql Mon
2017-10-23 00:01:04,30.1.32.157,[50450]SNMPʹ,None,1985,None,161,SNMP
